DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EU27_2020,2015,21.7,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EU27_2020,2016,20.0,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EU27_2020,2017,17.9,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EU27_2020,2018,16.0,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EU27_2020,2019,15.0,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EU27_2020,2020,16.8,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,1993,8.8,e
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,1994,9.1,e
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,1995,9.4,e
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,1996,9.8,e
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,1997,10.2,e
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,1998,11.2,b
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,1999,12.1,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2000,11.4,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2001,10.8,b
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2002,10.4,
